# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
   32     12.3510089984      0.4715833333    115.6951319806      0.3354773521      0.2932944000      0.7642084360         264    3.9435439772
   33     11.9549062044      0.4508333333    116.9562871697      0.3271384239      0.3012409806      0.7745834589         249    3.9435439772
   34     11.5492605567      0.4308333333    118.1660552079      0.3174788952      0.3090183735      0.7845833302         240    3.9435439772
   35     11.1464962749      0.4119166667    119.2972284187      0.3110668659      0.3164227009      0.7940417528         227    3.9435439772
   36     10.6889509109      0.3902500000    120.5875937244      0.3011646271      0.3250319362      0.8048751354         260    3.9435439772
   37     10.2957103118      0.3720000000    121.6903640403      0.2959804535      0.3323915005      0.8140001297         219    3.9435439772
   38      9.9117496133      0.3545833333    122.7337254386      0.2824034691      0.3395457268      0.8227084875         209    3.9435439772
   39      9.5330598807      0.3377500000    123.7493193372      0.2797889709      0.3465140760      0.8311251402         202    3.9435439772
   40      9.1336481807      0.3204166667    124.7911701038      0.2732191086      0.3537269831      0.8397917747         208    3.9435439772
   41      8.8274277386      0.3060833333    125.6443192516      0.2661523819      0.3597684503      0.8469583988         172    3.9435439772
   42      8.5497955708      0.2940833333    126.3592432528      0.2623102665      0.3647995591      0.8529584408         144    3.9435439772
   43      8.2191754755      0.2805000000    127.1657525942      0.2537600994      0.3706203997      0.8597500324         163    3.9435439772
   44      7.9327605242      0.2694166667    127.8211175172      0.2493882179      0.3753880858      0.8652917147         133    3.9435439772
   45      7.6030173292      0.2555833333    128.6545261020      0.2394995689      0.3813973069      0.8722083569         166    3.9435439772
   46      7.2943374191      0.2439166667    129.3544518865      0.2365143299      0.3865224421      0.8780416250         140    3.9435439772
   47      7.0353905355      0.2334166667    129.9965123314      0.2310428619      0.3911423683      0.8832916021         126    3.9435439772
   48      6.8051868226      0.2238333333    130.5774162065      0.2246613503      0.3953799605      0.8880832791         115    3.9435439772
   49      6.5129436506      0.2135000000    131.1965800185      0.2194137573      0.4000019431      0.8932499886         124    3.9435439772
   50      6.2700772268      0.2039166667    131.7601290784      0.2141141891      0.4043046832      0.8980416059         115    3.9435439772
   51      6.0365184917      0.1952500000    132.2846884143      0.2085304260      0.4082098603      0.9023749828         104    3.9435439772
   52      5.7842241684      0.1858333333    132.8530797244      0.2054350376      0.4124474525      0.9070833325         113    3.9435439772
   53      5.6061001881      0.1782500000    133.3086175216      0.1986932755      0.4158827364      0.9108750224          91    3.9435439772
   54      5.4153970293      0.1713333333    133.7262627735      0.1947755814      0.4190475941      0.9143332243          83    3.9435439772
   55      5.1757910074      0.1628333333    134.2404123851      0.1883504391      0.4229539037      0.9185832739         102    3.9435439772
   56      4.9366913249      0.1547500000    134.7218292897      0.1843757629      0.4266687632      0.9226249456          97    3.9435439772
   57      4.7826031687      0.1485000000    135.0968848394      0.1778936386      0.4295355678      0.9257498980          75    3.9435439772
   58      4.5530038425      0.1406666667    135.5663888808      0.1755084991      0.4331630468      0.9296665788          94    3.9435439772
   59      4.3668297125      0.1340833333    135.9608573764      0.1708662510      0.4362236261      0.9329581857          79    3.9435439772
   60      4.1894776173      0.1282500000    136.3003877274      0.1664028168      0.4389426708      0.9358749390          70    3.9435439772
