# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
   43     13.7382779432      0.2294166667    232.6325824666      0.4067771435      0.3919737339      0.8852916956         170    4.4612433376
   44     13.0674166575      0.2168333333    233.8946559781      0.3969814777      0.3975600004      0.8915834427         151    4.4612433376
   45     12.4749122579      0.2052500000    235.1037277181      0.3862154484      0.4027340412      0.8973749876         139    4.4612433376
   46     11.9053584241      0.1946666667    236.1832626847      0.3766593933      0.4074909687      0.9026666880         127    4.4612433376
   47     11.3461483823      0.1846666667    237.2148958677      0.3653426170      0.4120123982      0.9076666236         120    4.4612433376
   48     10.8556839855      0.1759166667    238.1069106916      0.3546264172      0.4159921408      0.9120416641         105    4.4612433376
   49     10.3645622049      0.1670833333    238.9932400856      0.3467814922      0.4200244248      0.9164583087         106    4.4612433376
   50      9.9195245400      0.1593333333    239.7799771451      0.3391051292      0.4235790670      0.9203332663          93    4.4612433376
   51      9.4395221419      0.1510833333    240.6218529052      0.3278307915      0.4273793399      0.9244583845          99    4.4612433376
   52      9.0545384295      0.1439166667    241.3691101869      0.3219771385      0.4306986928      0.9280416965          86    4.4612433376
   53      8.5573104754      0.1354166667    242.2256510173      0.3134951591      0.4346469343      0.9322916269         102    4.4612433376
   54      8.2250561753      0.1295000000    242.8181190502      0.3040342331      0.4374074936      0.9352499247          71    4.4612433376
   55      7.8380164165      0.1230000000    243.4813894132      0.2972621918      0.4404486418      0.9384999871          78    4.4612433376
   56      7.4065962892      0.1155833333    244.2303850507      0.2895631790      0.4439306855      0.9422082901          89    4.4612433376
   57      7.0656461846      0.1100000000    244.8079552087      0.2811138630      0.4465626180      0.9450000525          67    4.4612433376
   58      6.7241639876      0.1042500000    245.3836161766      0.2744174004      0.4492820501      0.9478750229          69    4.4612433376
   59      6.4784620237      0.1000833333    245.8128397750      0.2675230503      0.4512581825      0.9499583840          50    4.4612433376
   60      6.1731719665      0.0950833333    246.3434484680      0.2627987862      0.4536344111      0.9524583817          60    4.4612433376
