# time   trace   domains   purity   coherence  equireached
   74      1.0000021756      1.3422828299      0.0614388980      0.1493868093      0.3404702213
   75      1.0000022054      1.3310275246      0.0630790377      0.1483305241      0.3453805102
   76      1.0000022352      1.3199363269      0.0647302326      0.1472930679      0.3502530996
   77      1.0000022650      1.3090032097      0.0663920568      0.1462671388      0.3550882570
   78      1.0000022948      1.2982224744      0.0680640934      0.1452533467      0.3598862561
   79      1.0000023246      1.2875887323      0.0697459348      0.1442496463      0.3646473759
   80      1.0000023544      1.2770968865      0.0714371816      0.1432552115      0.3693718991
   81      1.0000023842      1.2667421147      0.0731374434      0.1422703062      0.3740601118
   82      1.0000024140      1.2565198533      0.0748463378      0.1412941399      0.3787123025
   83      1.0000024438      1.2464257825      0.0765634906      0.1403255925      0.3833287613
   84      1.0000024736      1.2364558118      0.0782885357      0.1393642459      0.3879097794
   85      1.0000025034      1.2266060671      0.0800211147      0.1384100629      0.3924556488
   86      1.0000025332      1.2168728778      0.0817608767      0.1374635874      0.3969666613
   87      1.0000025630      1.2072527652      0.0835074785      0.1365233830      0.4014431083
   88      1.0000025928      1.1977424316      0.0852605839      0.1355890660      0.4058852805
   89      1.0000026226      1.1883387492      0.0870198639      0.1346604149      0.4102934676
   90      1.0000026524      1.1790387509      0.0887849964      0.1337372369      0.4146679578
   91      1.0000026822      1.1698396208      0.0905556660      0.1328193650      0.4190090375
   92      1.0000027120      1.1607386854      0.0923315642      0.1319066587      0.4233169916
   93      1.0000027418      1.1517334054      0.0941123885      0.1309992847      0.4275921026
   94      1.0000027716      1.1428213682      0.0958978433      0.1300979547      0.4318346509
   95      1.0000028014      1.1340002801      0.0976876386      0.1292018456      0.4360449145
   96      1.0000028312      1.1252679601      0.0994814908      0.1283107255      0.4402231691
   97      1.0000028610      1.1166223329      0.1012791223      0.1274242754      0.4443696876
   98      1.0000028908      1.1080614232      0.1030802609      0.1265426737      0.4484847403
   99      1.0000029206      1.0995833495      0.1048846405      0.1256656032      0.4525685949
  100      1.0000029504      1.0911863193      0.1066920002      0.1247931261      0.4566215163
  101      1.0000029802      1.0828686237      0.1085020847      0.1239252749      0.4606437665
  102      1.0000030100      1.0746286325      0.1103146441      0.1230623075      0.4646356048
  103      1.0000030398      1.0664647899      0.1121294335      0.1222038053      0.4685972876
  104      1.0000030696      1.0583756103      0.1139462132      0.1213497379      0.4725290686
  105      1.0000030994      1.0503596742      0.1157647487      0.1205001088      0.4764311984
  106      1.0000031292      1.0424156244      0.1175848102      0.1196549251      0.4803039251
  107      1.0000031591      1.0345421625      0.1194061726      0.1188141973      0.4841474938
  108      1.0000031889      1.0267380457      0.1212286158      0.1179779741      0.4879621469
  109      1.0000032187      1.0190020835      0.1230519242      0.1171468632      0.4917481238
  110      1.0000032485      1.0113331349      0.1248758867      0.1163202106      0.4955056616
  111      1.0000032783      1.0037301054      0.1267002968      0.1154980957      0.4992349943
  112      1.0000033081      0.9961919447      0.1285249523      0.1146805203      0.5029363535
  113      1.0000033379      0.9887176438      0.1303496553      0.1138675795      0.5066099680
  114      1.0000033677      0.9813062332      0.1321742120      0.1130594758      0.5102560640
  115      1.0000033975      0.9739567802      0.1339984331      0.1122559194      0.5138748654
  116      1.0000034273      0.9666683874      0.1358221329      0.1114569199      0.5174665932
  117      1.0000034571      0.9594401902      0.1376451301      0.1106624745      0.5210314662
  118      1.0000034869      0.9522713553      0.1394672472      0.1098726105      0.5245697007
  119      1.0000035167      0.9451610791      0.1412883104      0.1090873334      0.5280815106
  120      1.0000035465      0.9381085857      0.1431081499      0.1083066588      0.5315671075
  121      1.0000035763      0.9311131257      0.1449265997      0.1075306008      0.5350267006
  122      1.0000036061      0.9241739747      0.1467434972      0.1067591725      0.5384604969
  123      1.0000036359      0.9172904318      0.1485586836      0.1059923973      0.5418687011
  124      1.0000036657      0.9104618186      0.1503720036      0.1052303205      0.5452515159
  125      1.0000036955      0.9036874777      0.1521833053      0.1044729726      0.5486091418
  126      1.0000037253      0.8969667720      0.1539924405      0.1037203232      0.5519417769
  127      1.0000037551      0.8902990830      0.1557992640      0.1029726602      0.5552496178
  128      1.0000037849      0.8836838105      0.1576036341      0.1022296594      0.5585328585
  129      1.0000038147      0.8771203712      0.1594054124      0.1014913136      0.5617916915
  130      1.0000038445      0.8706081981      0.1612044637      0.1007576260      0.5650263070
  131      1.0000038743      0.8641467394      0.1630006558      0.1000286010      0.5682368935
  132      1.0000039041      0.8577354578      0.1647938598      0.0993042527      0.5714236376
  133      1.0000039339      0.8513738299      0.1665839497      0.0985846139      0.5745867239
  134      1.0000039637      0.8450613455      0.1683708026      0.0978696308      0.5777263354
  135      1.0000039935      0.8387975069      0.1701542984      0.0971593020      0.5808426533
  136      1.0000040233      0.8325818279      0.1719343201      0.0964536202      0.5839358568
  137      1.0000040531      0.8264138340      0.1737107533      0.0957525822      0.5870061238
  138      1.0000040829      0.8202930611      0.1754834867      0.0950561801      0.5900536303
  139      1.0000041127      0.8142190556      0.1772524115      0.0943644115      0.5930785505
  140      1.0000041425      0.8081913735      0.1790174218      0.0936772688      0.5960810573
  141      1.0000041723      0.8022095799      0.1807784142      0.0929947328      0.5990613218
  142      1.0000042021      0.7962732491      0.1825352880      0.0923167927      0.6020195136
  143      1.0000042319      0.7903819635      0.1842879451      0.0916434367      0.6049558006
  144      1.0000042617      0.7845353137      0.1860362900      0.0909746519      0.6078703496
  145      1.0000042915      0.7787328981      0.1877802294      0.0903104248      0.6107633254
  146      1.0000043213      0.7729743223      0.1895196729      0.0896507409      0.6136348916
  147      1.0000043511      0.7672591990      0.1912545320      0.0889955850      0.6164852105
  148      1.0000043810      0.7615871476      0.1929847210      0.0883449412      0.6193144426
  149      1.0000044108      0.7559577940      0.1947101564      0.0876987949      0.6221227473
  150      1.0000044406      0.7503707703      0.1964307567      0.0870571266      0.6249102826
  151      1.0000044704      0.7448257146      0.1981464432      0.0864199181      0.6276772049
  152      1.0000045002      0.7393222704      0.1998571388      0.0857871509      0.6304236695
  153      1.0000045300      0.7338600869      0.2015627691      0.0851588058      0.6331498304
  154      1.0000045598      0.7284388187      0.2032632615      0.0845348632      0.6358558401
  155      1.0000045896      0.7230581251      0.2049585457      0.0839153028      0.6385418500
  156      1.0000046194      0.7177176706      0.2066485532      0.0833001040      0.6412080101
  157      1.0000046492      0.7124171241      0.2083332179      0.0826892460      0.6438544693
  158      1.0000046790      0.7071561592      0.2100124753      0.0820827070      0.6464813751
  159      1.0000047088      0.7019344539      0.2116862631      0.0814804653      0.6490888739
  160      1.0000047386      0.6967516903      0.2133545209      0.0808824986      0.6516771108
  161      1.0000047684      0.6916075546      0.2150171901      0.0802887844      0.6542462300
  162      1.0000047982      0.6865017369      0.2166742141      0.0796992998      0.6567963741
  163      1.0000048280      0.6814339311      0.2183255379      0.0791140218      0.6593276849
  164      1.0000048578      0.6764038350      0.2199711085      0.0785329299      0.6618403028
  165      1.0000048876      0.6714111496      0.2216108745      0.0779560056      0.6643343673
