# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
   29     34.7832951819      0.9747500000    152.7360276883      0.8893773556      0.1327713132      0.5128749609         296    6.7768461183
   30     34.5716544427      0.9500833333    155.2870317702      0.8579728603      0.1390913874      0.5251666307         295    6.7580509246
   31     34.3067277204      0.9257500000    157.8178775406      0.8157529831      0.1454544365      0.5372499824         290    6.6789444523
   32     33.9886398021      0.9020833333    160.3284588754      0.7978420258      0.1518096924      0.5490416288         283    6.6751746745
   33     33.7654872354      0.8785833333    162.8389766340      0.7832856178      0.1582764983      0.5607916117         282    6.6191144185
   34     33.4409762265      0.8580000000    165.0149612092      0.7775690556      0.1640550494      0.5710833073         247    6.5694003645
   35     33.1192494089      0.8375833333    167.1602636603      0.7685236931      0.1698949635      0.5812916756         245    6.6806529129
   36     32.7722146731      0.8153333333    169.4965286528      0.7600369453      0.1763826609      0.5924166441         267    6.6435122892
   37     32.3329207645      0.7945833333    171.6847959374      0.7477364540      0.1825544834      0.6027916670         249    6.6554519361
   38     32.1688222707      0.7781666667    173.4505170531      0.7211637497      0.1874454021      0.6109166145         195    4.4612433376
   39     31.7384638893      0.7586666667    175.5114443866      0.7118811607      0.1934074759      0.6206666827         234    4.4612433376
   40     31.2673201489      0.7386666667    177.6275809929      0.7053987980      0.1996256560      0.6306666732         240    4.4612433376
   41     30.7690709327      0.7184166667    179.7706886565      0.6954205036      0.2060202062      0.6407916546         243    4.4612433376
   42     30.4171317250      0.7013333333    181.5879625672      0.6910576820      0.2114934027      0.6493333578         205    4.4612433376
   43     30.0099788368      0.6829166667    183.5805936739      0.6843092442      0.2174886465      0.6585416794         221    4.4612433376
   44     29.6566917564      0.6688333333    185.0563275121      0.6722536087      0.2221275866      0.6655833721         169    4.4612433376
   45     29.2499773459      0.6530000000    186.7068972281      0.6650652885      0.2274014652      0.6734999418         190    4.4612433376
   46     28.9043862091      0.6382500000    188.2733310608      0.6588745117      0.2323671132      0.6808749437         177    4.4612433376
   47     28.4514516306      0.6225000000    189.9633160098      0.6535587311      0.2377306521      0.6887500286         189    4.4612433376
   48     28.0338344672      0.6078333333    191.4843403749      0.6395626068      0.2427777946      0.6960833669         176    4.4612433376
   49     27.6301615148      0.5922500000    193.1578716656      0.6353664398      0.2481995225      0.7038750648         187    4.4612433376
   50     27.1229287200      0.5778333333    194.6837650735      0.6250209808      0.2532810569      0.7110832930         173    4.4612433376
   51     26.6753020051      0.5632500000    196.2536982313      0.6190526485      0.2584670186      0.7183749676         175    4.4612433376
   52     26.2517317178      0.5501666667    197.6571715011      0.6139993668      0.2631666660      0.7249168158         157    4.4612433376
   53     25.7706767396      0.5360833333    199.1816465460      0.6002550125      0.2682760358      0.7319583893         169    4.4612433376
   54     25.4258855424      0.5238333333    200.4770467495      0.5967967510      0.2727594972      0.7380833626         147    4.4612433376
   55     24.9412459055      0.5109166667    201.8438496765      0.5884611607      0.2775301039      0.7445417643         155    4.4612433376
   56     24.4943891144      0.4979166667    203.2212094598      0.5808782578      0.2823782861      0.7510418296         156    4.4612433376
   57     24.0694234858      0.4854166667    204.5557214820      0.5791180134      0.2870682478      0.7572917938         150    4.4612433376
   58     23.7177026182      0.4751666667    205.6321467600      0.5678715706      0.2909523249      0.7624168396         123    4.4612433376
   59     23.2586192809      0.4630000000    206.9401595604      0.5686390400      0.2955975533      0.7684999704         146    4.4612433376
   60     22.7406576791      0.4500000000    208.2807362437      0.5512204170      0.3005999625      0.7749998569         156    4.4612433376
   61     22.3120077514      0.4383333333    209.5240835842      0.5488939285      0.3051264286      0.7808332443         140    4.4612433376
   62     21.8858688984      0.4275000000    210.6639545889      0.5458908081      0.3093582690      0.7862498760         130    4.4612433376
   63     21.4743723237      0.4176666667    211.7042369990      0.5386972427      0.3132289052      0.7911666036         118    4.4612433376
   64     21.0516667353      0.4070000000    212.8391768656      0.5302929878      0.3174454272      0.7964999676         128    4.4612433376
   65     20.6702286541      0.3969166667    213.9446565709      0.5239658356      0.3214678764      0.8015415668         121    4.4612433376
   66     20.2623352253      0.3870833333    214.9546246871      0.5140535831      0.3254133463      0.8064581752         118    4.4612433376
   67     19.8031479416      0.3768333333    216.0332907857      0.5064923763      0.3295475841      0.8115832806         123    4.4612433376
