# time   trace   domains   purity   coherence  equireached
   74      1.0000021756      1.3720521883      0.0569170947      0.0924334305      0.3263908468
   75      1.0000022054      1.3611276336      0.0584240266      0.0917113182      0.3311026768
   76      1.0000022352      1.3503661002      0.0599411144      0.0910034635      0.3357784052
   77      1.0000022650      1.3397614879      0.0614679833      0.0903089898      0.3404183279
   78      1.0000022948      1.3293080194      0.0630042678      0.0896270844      0.3450227477
   79      1.0000023246      1.3190002224      0.0645496112      0.0889569941      0.3495919722
   80      1.0000023544      1.3088329119      0.0661036656      0.0882980214      0.3541263135
   81      1.0000023842      1.2988011748      0.0676660913      0.0876495207      0.3586260863
   82      1.0000024140      1.2889003537      0.0692365571      0.0870108944      0.3630916079
   83      1.0000024438      1.2791260332      0.0708147394      0.0863815900      0.3675231966
   84      1.0000024736      1.2694740261      0.0724003226      0.0857610964      0.3719211716
   85      1.0000025034      1.2599403608      0.0739929986      0.0851489416      0.3762858520
   86      1.0000025332      1.2505212690      0.0755924663      0.0845446892      0.3806175560
   87      1.0000025630      1.2412131747      0.0771984318      0.0839479363      0.3849166010
   88      1.0000025928      1.2320126834      0.0788106082      0.0833583108      0.3891833028
   89      1.0000026226      1.2229165720      0.0804287149      0.0827754695      0.3934179751
   90      1.0000026524      1.2139217791      0.0820524779      0.0821990955      0.3976209294
   91      1.0000026822      1.2050253966      0.0836816295      0.0816288964      0.4017924743
   92      1.0000027120      1.1962246606      0.0853159078      0.0810646027      0.4059329158
   93      1.0000027418      1.1875169439      0.0869550569      0.0805059656      0.4100425567
   94      1.0000027716      1.1788997482      0.0885988265      0.0799527560      0.4141216965
   95      1.0000028014      1.1703706970      0.0902469720      0.0794047625      0.4181706312
   96      1.0000028312      1.1619275291      0.0918992538      0.0788617902      0.4221896531
   97      1.0000028610      1.1535680920      0.0935554378      0.0783236596      0.4261790511
   98      1.0000028908      1.1452903362      0.0952152947      0.0777902052      0.4301391100
   99      1.0000029206      1.1370923093      0.0968786003      0.0772612742      0.4340701109
  100      1.0000029504      1.1289721508      0.0985451349      0.0767367261      0.4379723309
  101      1.0000029802      1.1209280871      0.1002146835      0.0762164312      0.4418460432
  102      1.0000030100      1.1129584266      0.1018870359      0.0757002698      0.4456915173
  103      1.0000030398      1.1050615553      0.1035619857      0.0751881317      0.4495090183
  104      1.0000030696      1.0972359327      0.1052393313      0.0746799151      0.4532988076
  105      1.0000030994      1.0894800877      0.1069188748      0.0741755260      0.4570611428
  106      1.0000031292      1.0817926145      0.1086004227      0.0736748777      0.4607962774
  107      1.0000031591      1.0741721697      0.1102837851      0.0731778901      0.4645044610
  108      1.0000031889      1.0666174684      0.1119687763      0.0726844892      0.4681859396
  109      1.0000032187      1.0591272812      0.1136552140      0.0721946063      0.4718409552
  110      1.0000032485      1.0517004311      0.1153429198      0.0717081780      0.4754697462
  111      1.0000032783      1.0443357910      0.1170317187      0.0712251456      0.4790725473
  112      1.0000033081      1.0370322805      0.1187214393      0.0707454545      0.4826495896
  113      1.0000033379      1.0297888637      0.1204119136      0.0702690540      0.4862011007
  114      1.0000033677      1.0226045469      0.1221029769      0.0697958971      0.4897273046
  115      1.0000033975      1.0154783761      0.1237944678      0.0693259400      0.4932284220
  116      1.0000034273      1.0084094350      0.1254862281      0.0688591416      0.4967046701
  117      1.0000034571      1.0013968429      0.1271781026      0.0683954638      0.5001562631
  118      1.0000034869      0.9944397528      0.1288699394      0.0679348708      0.5035834117
  119      1.0000035167      0.9875373499      0.1305615894      0.0674773292      0.5069863236
  120      1.0000035465      0.9806888495      0.1322529067      0.0670228075      0.5103652035
  121      1.0000035763      0.9738934957      0.1339437479      0.0665712760      0.5137202529
  122      1.0000036061      0.9671505595      0.1356339729      0.0661227067      0.5170516706
  123      1.0000036359      0.9604593380      0.1373234440      0.0656770731      0.5203596525
  124      1.0000036657      0.9538191523      0.1390120265      0.0652343503      0.5236443915
  125      1.0000036955      0.9472293471      0.1406995883      0.0647945144      0.5269060780
  126      1.0000037253      0.9406892885      0.1423859998      0.0643575426      0.5301448997
  127      1.0000037551      0.9341983637      0.1440711342      0.0639234132      0.5333610416
  128      1.0000037849      0.9277559796      0.1457548672      0.0634921055      0.5365546864
  129      1.0000038147      0.9213615617      0.1474370770      0.0630635995      0.5397260142
  130      1.0000038445      0.9150145533      0.1491176442      0.0626378760      0.5428752026
  131      1.0000038743      0.9087144145      0.1507964519      0.0622149164      0.5460024270
  132      1.0000039041      0.9024606213      0.1524733855      0.0617947026      0.5491078605
  133      1.0000039339      0.8962526652      0.1541483330      0.0613772174      0.5521916740
  134      1.0000039637      0.8900900518      0.1558211844      0.0609624437      0.5552540362
  135      1.0000039935      0.8839723005      0.1574918322      0.0605503650      0.5582951136
  136      1.0000040233      0.8778989438      0.1591601710      0.0601409651      0.5613150707
  137      1.0000040531      0.8718695266      0.1608260976      0.0597342282      0.5643140702
  138      1.0000040829      0.8658836053      0.1624895112      0.0593301388      0.5672922725
  139      1.0000041127      0.8599407479      0.1641503128      0.0589286816      0.5702498363
  140      1.0000041425      0.8540405328      0.1658084058      0.0585298417      0.5731869184
  141      1.0000041723      0.8481825486      0.1674636956      0.0581336040      0.5761036737
  142      1.0000042021      0.8423663937      0.1691160895      0.0577399541      0.5790002555
  143      1.0000042319      0.8365916756      0.1707654970      0.0573488775      0.5818768152
  144      1.0000042617      0.8308580106      0.1724118294      0.0569603597      0.5847335025
  145      1.0000042915      0.8251650234      0.1740550003      0.0565743866      0.5875704657
  146      1.0000043213      0.8195123466      0.1756949248      0.0561909440      0.5903878511
  147      1.0000043511      0.8138996208      0.1773315201      0.0558100180      0.5931858039
  148      1.0000043810      0.8083264933      0.1789647053      0.0554315946      0.5959644673
  149      1.0000044108      0.8027926189      0.1805944014      0.0550556599      0.5987239833
  150      1.0000044406      0.7972976587      0.1822205311      0.0546822001      0.6014644923
  151      1.0000044704      0.7918412803      0.1838430188      0.0543112014      0.6041861334
  152      1.0000045002      0.7864231576      0.1854617909      0.0539426502      0.6068890441
  153      1.0000045300      0.7810429699      0.1870767754      0.0535765327      0.6095733606
  154      1.0000045598      0.7757004024      0.1886879019      0.0532128352      0.6122392178
  155      1.0000045896      0.7703951456      0.1902951021      0.0528515443      0.6148867493
  156      1.0000046194      0.7651268950      0.1918983088      0.0524926463      0.6175160875
  157      1.0000046492      0.7598953514      0.1934974569      0.0521361276      0.6201273632
  158      1.0000046790      0.7547002198      0.1950924827      0.0517819747      0.6227207062
  159      1.0000047088      0.7495412102      0.1966833241      0.0514301741      0.6252962452
  160      1.0000047386      0.7444180367      0.1982699205      0.0510807123      0.6278541076
  161      1.0000047684      0.7393304178      0.1998522132      0.0507335757      0.6303944194
  162      1.0000047982      0.7342780759      0.2014301444      0.0503887510      0.6329173059
  163      1.0000048280      0.7292607374      0.2030036585      0.0500462247      0.6354228909
  164      1.0000048578      0.7242781323      0.2045727007      0.0497059833      0.6379112973
  165      1.0000048876      0.7193299944      0.2061372182      0.0493680134      0.6403826469
  166      1.0000049174      0.7144160610      0.2076971594      0.0490323016      0.6428370603
  167      1.0000049472      0.7095360726      0.2092524740      0.0486988347      0.6452746573
  168      1.0000049770      0.7046897732      0.2108031132      0.0483675991      0.6476955564
  169      1.0000050068      0.6998769097      0.2123490297      0.0480385815      0.6500998753
  170      1.0000050366      0.6950972323      0.2138901773      0.0477117688      0.6524877306
  171      1.0000050664      0.6903504941      0.2154265112      0.0473871474      0.6548592380
  172      1.0000050962      0.6856364508      0.2169579880      0.0470647043      0.6572145121
